"article";"productgroup";"category";"cost";"style";"sizes";"gender";"rgb_r_main_col";"rgb_g_main_col";"rgb_b_main_col";"rgb_r_sec_col";"rgb_g_sec_col";"rgb_b_sec_col"
"BC6932";"PANTS";"OUTDOOR";5.9;"slim";"xs,s,m,l,xl";"kids";162;181;205;218;112;214
"ZU5523";"SHOES";"FOOTBALL GENERIC";10.3;"slim";"xxs,xs,s,m,l,xl,xxl";"women";24;116;205;218;112;214
"CH6937";"SWEATSHIRTS";"TRAINING";4.9;"slim";"xxs,xs,s,m,l,xl,xxl";"unisex";205;41;144;238;197;145
"FB5424";"SHORTS";"FOOTBALL LICENSED";2.7;"regular";"xxs,xs,s,m,l,xl,xxl";"kids";139;101;8;238;197;145
"MD2664";"SHORTS";"FOOTBALL LICENSED";2.4;"wide";"s,m,l,xl,xxl";"women";145;145;145;238;197;145
"XO7333";"HARDWARE ACCESSORIES";"RUNNING";1.4;"slim";"xxs,xs,s,m,l,xl,xxl";"women";0;154;205;238;197;145
"JN4924";"HARDWARE ACCESSORIES";"SWIM";0.5;"regular";"xxs,xs,s,m,l,xl,xxl";"unisex";255;250;240;238;197;145
"FP2228";"SHOES";"RUNNING";8.1;"wide";"s,m,l,xl,xxl";"women";255;187;255;238;197;145
"RX1584";"T-SHIRTS";"RUNNING";3;"slim";"xxs,xs,s,m,l,xl,xxl";"women";220;220;220;83;134;139
"YV6825";"SHOES";"TRAINING";6.7;"wide";"xxs,xs,s,m,l,xl,xxl";"women";205;183;158;83;134;139
"RJ3725";"SHOES";"TRAINING";4;"slim";"xxs,xs,s,m,l,xl,xxl";"women";135;206;250;83;134;139
"ZB7415";"HARDWARE ACCESSORIES";"TRAINING";5.3;"wide";"xxs,xs,s,m,l,xl,xxl";"women";255;140;105;83;134;139
"XK8557";"SHOES";"OUTDOOR";7.7;"wide";"xxs,xs,s,m,l,xl,xxl";"women";115;115;115;83;134;139
"ZK3537";"HARDWARE ACCESSORIES";"FOOTBALL GENERIC";0.7;"slim";"xxs,xs,s,m,l,xl";"women";84;139;84;83;134;139
"WP4574";"HARDWARE ACCESSORIES";"GOLF";0.9;"slim";"xxs,xs,s,m,l,xl,xxl";"women";205;133;63;83;134;139
"KJ7255";"PANTS";"GOLF";3.1;"slim";"xxs,xs,s,m,l,xl,xxl";"women";50;205;50;83;134;139
"VK4838";"HARDWARE ACCESSORIES";"FOOTBALL GENERIC";0.6;"wide";"xxs,xs,s,m,l,xl,xxl";"women";238;180;180;83;134;139
"AR4473";"SHOES";"STELLA";11.9;"regular";"xxs,xs,s,m,l";"kids";181;181;181;83;134;139
"DW8683";"HARDWARE ACCESSORIES";"RUNNING";1.4;"regular";"xxs,xs,s,m,l,xl,xxl";"kids";250;235;215;139;76;57
"ZZ2466";"SHOES";"TRAINING";6.4;"regular";"xxs,xs,s,m,l,xl,xxl";"women";174;238;238;139;76;57
"WR9459";"SHOES";"TRAINING";5.8;"slim";"s,m,l,xl,xxl";"women";13;13;13;139;76;57
"YD2684";"HARDWARE ACCESSORIES";"NEO";1.4;"regular";"s,m,l,xl,xxl";"women";191;191;191;205;201;201
"TJ1277";"SHORTS";"FOOTBALL LICENSED";2.7;"slim";"xxs,xs,s,m,l";"men";143;143;143;205;201;201
"KT2132";"SHOES";"RUNNING";8.7;"wide";"xxs,xs,s,m,l,xl,xxl";"women";205;173;0;205;201;201
"ZR8112";"SHOES";"FOOTBALL GENERIC";4.7;"regular";"xs,s,m,l,xl";"women";245;245;245;72;118;255
"MQ6248";"SHOES";"OUTDOOR";5.6;"wide";"xxs,xs,s,m,l,xl,xxl";"kids";107;107;107;72;118;255
"QD2412";"SHOES";"OUTDOOR";7;"regular";"xxs,xs,s,m,l,xl,xxl";"unisex";0;245;255;72;118;255
"IQ1913";"SHOES";"FOOTBALL GENERIC";9.9;"slim";"xxs,xs,s,m,l,xl,xxl";"unisex";255;192;203;238;220;130
"OV5561";"HARDWARE ACCESSORIES";"SWIM";1.09;"wide";"xs,s,m,l";"women";0;205;0;238;220;130
"WK5365";"SHORTS";"TRAINING";1.9;"regular";"xxs,xs,s,m,l";"women";220;220;220;248;248;255
"XG6449";"HARDWARE ACCESSORIES";"TRAINING";2.4;"slim";"xs,s,m,l,xl";"kids";238;197;145;248;248;255
"XF4642";"T-SHIRTS";"RUNNING";3.7;"slim";"xs,s,m,l,xl,xxl";"unisex";139;121;94;248;248;255
"HD1628";"SHOES";"CLASSICS";5.9;"regular";"xxs,xs,s,m,l,xl,xxl";"women";50;205;50;248;248;255
"LI5748";"PANTS";"TRAINING";3.4;"wide";"xxs,xs,s,m,l,xl,xxl";"women";164;211;238;238;230;133
"RS3662";"SHORTS";"RUNNING";3;"slim";"xs,s,m,l";"men";214;214;214;238;230;133
"KL1526";"HARDWARE ACCESSORIES";"TRAINING";7.4;"regular";"xxs,xs,s,m,l,xl,xxl";"women";238;220;130;238;230;133
"TK4862";"SHOES";"FOOTBALL GENERIC";8.2;"wide";"xs,s,m,l,xl";"women";139;137;137;238;230;133
"EI1264";"SHOES";"RUNNING";9.7;"regular";"xxs,xs,s,m,l,xl,xxl";"men";36;36;36;238;230;133
"BZ8791";"T-SHIRTS";"RUNNING";3.1;"regular";"xxs,xs,s,m,l,xl,xxl";"women";255;187;255;127;127;127
"XS4279";"SHOES";"GOLF";5.5;"regular";"xxs,xs,s,m,l,xl,xxl";"women";189;189;189;127;127;127
"LI6472";"T-SHIRTS";"RUNNING";4;"slim";"s,m,l,xl";"women";83;134;139;127;127;127
"MK5273";"SHOES";"TRAINING";7;"regular";"xxs,xs,s,m,l,xl,xxl";"kids";54;54;54;127;127;127
"KT8964";"SHORTS";"GOLF";4.5;"slim";"xxs,xs,s,m,l,xl,xxl";"women";205;140;149;127;127;127
"VJ8341";"SHOES";"OUTDOOR";10.2;"regular";"xs,s,m,l,xl";"kids";220;220;220;0;205;0
"VM7772";"HARDWARE ACCESSORIES";"FOOTBALL LICENSED";0.4;"slim";"xxs,xs,s,m,l,xl,xxl";"kids";205;198;115;0;205;0
"EN1199";"PANTS";"FOOTBALL GENERIC";2.4;"slim";"xxs,xs,s,m,l,xl,xxl";"men";205;51;51;0;205;0
"QO8312";"SHOES";"FOOTBALL GENERIC";9.2;"slim";"xxs,xs,s,m,l";"unisex";115;115;115;0;205;0
"QP2819";"HARDWARE ACCESSORIES";"RUNNING";1.7;"wide";"xs,s,m,l,xl";"men";13;13;13;0;205;0
"PP8845";"SHOES";"TENNIS";8.1;"slim";"xxs,xs,s,m,l,xl,xxl";"unisex";69;139;116;0;205;0
"PT2992";"SHORTS";"SLVR";6.3;"wide";"xxs,xs,s,m,l,xl,xxl";"men";218;165;32;0;205;0
"BI5643";"T-SHIRTS";"RUNNING";2.9;"regular";"xs,s,m,l,xl,xxl";"women";139;10;80;95;158;160
"KZ9384";"HARDWARE ACCESSORIES";"INDOOR";4.1;"slim";"xxs,xs,s,m,l,xl,xxl";"women";84;139;84;95;158;160
"QL6154";"HARDWARE ACCESSORIES";"TRAINING";4.1;"regular";"xxs,xs,s,m,l,xl,xxl";"women";0;104;139;95;158;160
"WB3723";"SHOES";"OUTDOOR";9.8;"wide";"xxs,xs,s,m,l,xl,xxl";"unisex";255;240;245;255;140;105
"AL9977";"PANTS";"TRAINING";2.9;"slim";"s,m,l,xl";"kids";218;165;32;255;140;105
"AR1923";"PANTS";"TRAINING";3;"regular";"xxs,xs,s,m,l,xl,xxl";"men";135;135;135;255;140;105
"RN5619";"SHORTS";"TRAINING";2.1;"slim";"xxs,xs,s,m,l,xl,xxl";"kids";188;238;104;255;140;105
"EM9513";"HARDWARE ACCESSORIES";"FOOTBALL LICENSED";0.7;"wide";"xxs,xs,s,m,l,xl,xxl";"men";220;220;220;255;140;105
"SF1988";"SHOES";"FOOTBALL GENERIC";11.3;"slim";"xxs,xs,s,m,l,xl,xxl";"kids";255;250;240;255;140;105
"BS7795";"T-SHIRTS";"TRAINING";2;"regular";"xxs,xs,s,m,l,xl,xxl";"men";205;150;205;255;140;105
"FP7124";"HARDWARE ACCESSORIES";"GOLF";4.2;"wide";"xxs,xs,s,m,l,xl,xxl";"women";54;54;54;107;107;107
"EL3283";"HARDWARE ACCESSORIES";"SWIM";1;"regular";"s,m,l,xl,xxl";"women";54;100;139;107;107;107
"AX5971";"SHOES";"FOOTBALL GENERIC";4.6;"regular";"xs,s,m,l,xl,xxl";"women";162;181;205;107;107;107
"TC9631";"PANTS";"TRAINING";3.3;"regular";"xs,s,m,l,xl";"kids";127;127;127;107;107;107
"VS2118";"PANTS";"PORSCHE";15.39;"wide";"xxs,xs,s,m,l";"women";154;205;50;107;107;107
"LY8874";"SHOES";"TRAINING";5.5;"regular";"xxs,xs,s,m,l,xl,xxl";"kids";122;197;205;107;107;107
"GA4832";"SWEATSHIRTS";"RUNNING";5.3;"regular";"xxs,xs,s,m,l,xl,xxl";"women";54;100;139;209;238;238
"WV8337";"SHOES";"FOOTBALL GENERIC";10.5;"slim";"xxs,xs,s,m,l,xl,xxl";"women";139;121;94;209;238;238
"EB5477";"SHOES";"RELAX CASUAL";8.4;"regular";"s,m,l,xl,xxl";"women";141;182;205;209;238;238
"UJ4517";"SHORTS";"RUNNING";2.8;"regular";"s,m,l,xl,xxl";"women";58;95;205;209;238;238
"RF6397";"SHOES";"TRAINING";4.1;"wide";"s,m,l,xl,xxl";"men";13;13;13;209;238;238
"SJ4545";"HARDWARE ACCESSORIES";"SWIM";1;"slim";"xxs,xs,s,m,l,xl,xxl";"kids";248;248;255;209;238;238
"IW8485";"SWEATSHIRTS";"OUTDOOR";6.3;"wide";"xxs,xs,s,m,l,xl,xxl";"women";54;100;139;209;238;238
"WT9578";"HARDWARE ACCESSORIES";"RUNNING";1.4;"slim";"xxs,xs,s,m,l,xl";"women";205;140;149;158;158;158
"HU6228";"SHORTS";"TENNIS";2.8;"slim";"xxs,xs,s,m,l,xl,xxl";"unisex";214;214;214;158;158;158
"RN7483";"SHOES";"INDOOR";5.6;"wide";"xs,s,m,l";"women";139;101;8;158;158;158
"DW2429";"HARDWARE ACCESSORIES";"GOLF";1.8;"slim";"s,m,l,xl";"unisex";205;133;63;158;158;158
"AQ1643";"SHOES";"RUNNING";8.6;"regular";"s,m,l,xl,xxl";"unisex";205;96;144;145;44;238
"DM6271";"SHOES";"ACTION SPORTS";5.6;"slim";"s,m,l,xl";"unisex";218;112;214;145;44;238
"YN2747";"HARDWARE ACCESSORIES";"TRAINING";1.7;"wide";"xxs,xs,s,m,l";"kids";158;158;158;145;44;238
"JK5796";"SHORTS";"FOOTBALL LICENSED";2.6;"slim";"xxs,xs,s,m,l";"men";245;245;245;122;197;205
"UG2991";"SHORTS";"FOOTBALL GENERIC";2;"wide";"xs,s,m,l,xl";"men";181;181;181;238;149;114
"JW4878";"PANTS";"TRAINING";3;"slim";"xs,s,m,l";"women";139;69;0;238;149;114
"IH1672";"SHOES";"OUTDOOR";10.5;"wide";"xxs,xs,s,m,l,xl,xxl";"men";192;255;62;238;149;114
"BM9116";"HARDWARE ACCESSORIES";"RUNNING";1.6;"wide";"xxs,xs,s,m,l,xl";"unisex";139;136;120;238;149;114
"HJ9196";"HARDWARE ACCESSORIES";"GOLF";2.9;"regular";"xs,s,m,l,xl,xxl";"women";107;107;107;238;149;114
"HZ9888";"SHORTS";"TRAINING";2.29;"slim";"xxs,xs,s,m,l,xl,xxl";"unisex";139;136;120;238;149;114
"RJ5552";"SHOES";"INDOOR";3.5;"wide";"xxs,xs,s,m,l,xl,xxl";"women";180;238;180;255;250;240
"VG1586";"SHOES";"FOOTBALL GENERIC";11.9;"slim";"xxs,xs,s,m,l,xl,xxl";"men";54;54;54;255;250;240
"PQ6953";"PANTS";"GOLF";5;"regular";"xxs,xs,s,m,l,xl,xxl";"women";238;229;222;255;250;240
"XG3252";"SHOES";"FOOTBALL GENERIC";15.39;"slim";"xs,s,m,l,xl,xxl";"women";83;134;139;255;250;240
"TA7629";"SHORTS";"FOOTBALL GENERIC";2.7;"regular";"xxs,xs,s,m,l,xl,xxl";"women";135;206;250;135;206;250
"FE6662";"T-SHIRTS";"TRAINING";2.4;"wide";"xxs,xs,s,m,l,xl,xxl";"kids";138;43;226;135;206;250
"AF5746";"T-SHIRTS";"OUTDOOR";4.5;"wide";"xs,s,m,l,xl,xxl";"women";0;104;139;135;206;250
"PQ6773";"SHORTS";"TENNIS";2.6;"wide";"xxs,xs,s,m,l,xl,xxl";"men";135;135;135;135;206;250
"LB9256";"SHOES";"RUNNING";9.5;"wide";"xxs,xs,s,m,l,xl,xxl";"kids";255;192;203;135;206;250
"ZM8792";"SHOES";"OUTDOOR";10.8;"regular";"xxs,xs,s,m,l,xl,xxl";"women";95;158;160;135;206;250
"MC3398";"SHOES";"RUNNING";9.6;"slim";"xxs,xs,s,m,l,xl,xxl";"kids";181;181;181;205;183;158
"LD1896";"HARDWARE ACCESSORIES";"FOOTBALL LICENSED";0.4;"slim";"xxs,xs,s,m,l";"unisex";205;155;29;205;183;158
"TR1972";"SHOES";"FOOTBALL GENERIC";12.89;"wide";"xs,s,m,l,xl,xxl";"women";139;137;137;205;183;158
"XK6846";"SHOES";"TRAINING";6;"regular";"xs,s,m,l,xl,xxl";"men";139;10;80;205;183;158
"MZ9561";"SHORTS";"FOOTBALL LICENSED";2.6;"wide";"xxs,xs,s,m,l,xl";"men";143;143;143;205;183;158
"YR2438";"SHOES";"FOOTBALL GENERIC";5.9;"wide";"xxs,xs,s,m,l,xl,xxl";"women";255;187;255;205;183;158
"QO5375";"HARDWARE ACCESSORIES";"SWIM";0.4;"wide";"xxs,xs,s,m,l,xl,xxl";"women";205;173;0;205;183;158
"DB3258";"HARDWARE ACCESSORIES";"SWIM";0.9;"regular";"xxs,xs,s,m,l,xl,xxl";"women";145;44;238;205;183;158
"EL6462";"SHOES";"TRAINING";6.6;"slim";"xxs,xs,s,m,l,xl,xxl";"kids";79;79;79;0;245;255
"GT2628";"SWEATSHIRTS";"TRAINING";6.3;"wide";"xxs,xs,s,m,l,xl,xxl";"kids";139;121;94;0;245;255
"ZX8794";"SHOES";"NEO";3.4;"slim";"xxs,xs,s,m,l,xl,xxl";"unisex";139;69;0;0;245;255
"AZ6626";"SHOES";"RUNNING";10.8;"slim";"xs,s,m,l,xl,xxl";"unisex";174;238;238;0;245;255
"KV2454";"SHOES";"OUTDOOR";7;"regular";"xxs,xs,s,m,l,xl,xxl";"men";250;128;114;0;245;255
"ZJ5718";"HARDWARE ACCESSORIES";"SWIM";1.09;"wide";"xxs,xs,s,m,l,xl,xxl";"kids";238;229;222;0;245;255
"IA4131";"SHOES";"DRESS CASUAL";6.3;"regular";"xs,s,m,l";"kids";0;104;139;139;136;120
"RF2926";"HARDWARE ACCESSORIES";"GOLF";1.4;"wide";"xxs,xs,s,m,l,xl,xxl";"kids";205;155;155;139;136;120
"SW7987";"SHORTS";"RUNNING";3.2;"regular";"xxs,xs,s,m,l,xl,xxl";"kids";205;145;158;139;136;120
"UV9411";"SHOES";"TRAINING";5.6;"wide";"xxs,xs,s,m,l,xl,xxl";"women";79;148;205;139;136;120
"UX6851";"SHOES";"TRAINING";5.2;"regular";"xxs,xs,s,m,l,xl,xxl";"women";83;134;139;139;136;120
"JG1582";"T-SHIRTS";"RUNNING";3.5;"slim";"xxs,xs,s,m,l,xl";"women";255;174;185;255;245;238
"XU7827";"SWEATSHIRTS";"ORIGINALS";5;"slim";"xs,s,m,l,xl,xxl";"women";79;148;205;255;245;238
"ZE6328";"SWEATSHIRTS";"RUNNING";4.5;"wide";"xs,s,m,l,xl";"women";255;140;105;255;245;238
"IB8671";"SWEATSHIRTS";"OUTDOOR";5.2;"slim";"xxs,xs,s,m,l";"women";205;140;149;255;245;238
"CC8861";"HARDWARE ACCESSORIES";"TRAINING";3.9;"wide";"xxs,xs,s,m,l,xl,xxl";"women";205;155;155;255;245;238
"FE6641";"HARDWARE ACCESSORIES";"SWIM";0.7;"wide";"xs,s,m,l,xl";"women";131;139;131;255;245;238
"CL8759";"HARDWARE ACCESSORIES";"SWIM";1.4;"wide";"xs,s,m,l,xl";"kids";238;180;34;174;238;238
"QB6977";"SHORTS";"FOOTBALL LICENSED";2.7;"wide";"xxs,xs,s,m,l,xl,xxl";"women";138;43;226;174;238;238
"QD9777";"PANTS";"TRAINING";3;"wide";"xxs,xs,s,m,l,xl,xxl";"women";179;238;58;174;238;238
"PU1185";"SHOES";"ACTIVE CASUAL";6.6;"wide";"xs,s,m,l,xl";"men";135;135;135;181;181;181
"FJ2121";"SHOES";"FOOTBALL GENERIC";10.5;"slim";"s,m,l,xl";"women";162;181;205;181;181;181
"TO8135";"HARDWARE ACCESSORIES";"RUNNING";1.4;"wide";"xxs,xs,s,m,l,xl,xxl";"men";0;245;255;181;181;181
"RX4112";"T-SHIRTS";"TRAINING";3;"regular";"s,m,l,xl,xxl";"women";240;128;128;181;181;181
"RT6283";"SHOES";"INDOOR";6.3;"wide";"xxs,xs,s,m,l";"women";54;100;139;255;255;240
"TS8795";"SWEATSHIRTS";"OUTDOOR";6.5;"slim";"xxs,xs,s,m,l,xl,xxl";"kids";162;181;205;255;255;240
"GS4461";"SHOES";"FOOTBALL GENERIC";12.1;"slim";"xxs,xs,s,m,l,xl,xxl";"kids";0;154;205;255;255;240
"VW8489";"SHORTS";"OLYMPICS";7;"regular";"xxs,xs,s,m,l,xl,xxl";"men";138;43;226;255;255;240
"CK7156";"SHOES";"TENNIS";6.3;"slim";"xxs,xs,s,m,l,xl,xxl";"women";205;129;98;255;255;240
"KI2338";"SHOES";"FOOTBALL GENERIC";11.5;"wide";"xs,s,m,l,xl";"women";139;137;137;255;255;240
"RN4195";"HARDWARE ACCESSORIES";"FOOTBALL LICENSED";0.4;"regular";"xxs,xs,s,m,l,xl,xxl";"unisex";164;211;238;255;255;240
"EZ3428";"SHOES";"OUTDOOR";6.8;"slim";"xxs,xs,s,m,l,xl,xxl";"unisex";139;136;120;205;155;29
"BU9681";"SHOES";"RUNNING";9.1;"slim";"xxs,xs,s,m,l,xl,xxl";"men";255;140;105;205;155;29
"QV8877";"SHORTS";"BASKETBALL GENERIC";3.5;"slim";"s,m,l,xl";"kids";250;235;215;205;155;29
"LD8468";"HARDWARE ACCESSORIES";"SWIM";0.6;"slim";"xxs,xs,s,m,l,xl,xxl";"men";205;173;0;205;155;29
"XU9926";"SHORTS";"FOOTBALL LICENSED";2.6;"regular";"xxs,xs,s,m,l,xl,xxl";"kids";205;140;149;168;168;168
"CO7738";"T-SHIRTS";"TRAINING";2.7;"slim";"xxs,xs,s,m,l";"women";79;148;205;168;168;168
"ZV2187";"SHOES";"FOOTBALL GENERIC";11.5;"slim";"xxs,xs,s,m,l,xl,xxl";"kids";143;143;143;168;168;168
"YX1723";"SHOES";"RUNNING";8.29;"slim";"s,m,l,xl,xxl";"men";72;118;255;240;128;128
"XG6147";"SHORTS";"RUNNING";3.1;"slim";"xs,s,m,l";"women";218;112;214;240;128;128
"NQ1161";"SHOES";"INDOOR";6.3;"slim";"xs,s,m,l,xl";"men";205;133;63;240;128;128
"ZF7765";"PANTS";"TRAINING";3.2;"slim";"xxs,xs,s,m,l,xl,xxl";"women";238;197;145;240;128;128
"CR8478";"SWEATSHIRTS";"TRAINING";4.2;"regular";"xxs,xs,s,m,l";"unisex";205;140;149;240;128;128
"AO8265";"SHOES";"RUNNING";7.9;"wide";"xxs,xs,s,m,l,xl,xxl";"unisex";205;155;29;240;128;128
"NE7168";"SHOES";"PORSCHE";19.8;"slim";"xs,s,m,l";"men";238;106;167;179;238;58
"TM4166";"SWEATSHIRTS";"OUTDOOR";9.1;"slim";"s,m,l,xl,xxl";"women";218;112;214;179;238;58
"BY9685";"SHOES";"TENNIS";6.3;"wide";"xxs,xs,s,m,l,xl,xxl";"women";255;187;255;179;238;58
"ZO6398";"HARDWARE ACCESSORIES";"TRAINING";3.6;"regular";"xxs,xs,s,m,l,xl,xxl";"women";205;150;205;179;238;58
"VX8496";"PANTS";"TRAINING";3.4;"slim";"xxs,xs,s,m,l,xl,xxl";"men";238;180;180;180;205;205
"YV7315";"SHOES";"TRAINING";6.2;"wide";"xxs,xs,s,m,l,xl,xxl";"unisex";54;100;139;180;205;205
"GD2286";"HARDWARE ACCESSORIES";"TRAINING";1.8;"slim";"xxs,xs,s,m,l,xl,xxl";"women";205;16;118;180;205;205
"TN5256";"T-SHIRTS";"RUNNING";3;"regular";"xxs,xs,s,m,l,xl,xxl";"women";205;198;115;180;205;205
"PL6969";"PANTS";"OUTDOOR";5.6;"regular";"xxs,xs,s,m,l,xl,xxl";"unisex";255;245;238;180;205;205
"WO1329";"SHOES";"BASKETBALL GENERIC";9.8;"regular";"xxs,xs,s,m,l,xl,xxl";"women";238;197;145;180;205;205
"QS1816";"SHORTS";"TRAINING";2.4;"regular";"xxs,xs,s,m,l,xl,xxl";"men";188;238;104;205;150;205
"RE8863";"HARDWARE ACCESSORIES";"INDOOR";4.1;"slim";"s,m,l,xl";"kids";205;183;158;205;150;205
"MW7971";"SHOES";"TRAINING";5.2;"slim";"xxs,xs,s,m,l,xl,xxl";"kids";238;180;180;205;150;205
"JR8311";"T-SHIRTS";"TRAINING";2.29;"regular";"xxs,xs,s,m,l,xl,xxl";"unisex";205;129;98;205;150;205
"EA9617";"PANTS";"TRAINING";3.1;"regular";"xxs,xs,s,m,l,xl,xxl";"unisex";139;10;80;205;41;144
"SP6977";"SHORTS";"FOOTBALL GENERIC";2.8;"regular";"xs,s,m,l,xl";"women";238;233;191;205;41;144
"GB6449";"SHOES";"TENNIS";7.7;"wide";"xs,s,m,l";"men";127;127;127;143;143;143
"PV1343";"SHOES";"TRAINING";5.3;"slim";"xxs,xs,s,m,l,xl,xxl";"men";205;51;51;143;143;143
"ON6494";"SWEATSHIRTS";"FOOTBALL GENERIC";3.1;"regular";"xxs,xs,s,m,l,xl,xxl";"men";50;205;50;143;143;143
"BR3179";"T-SHIRTS";"TRAINING";2.4;"slim";"xs,s,m,l,xl,xxl";"women";127;127;127;143;143;143
"HN6759";"SHOES";"TRAINING";5.6;"slim";"xs,s,m,l";"men";139;137;137;188;238;104
"CF4856";"SHOES";"RUNNING";8.5;"slim";"xxs,xs,s,m,l,xl,xxl";"women";218;112;214;188;238;104
"SG6172";"SHOES";"TRAINING";5.4;"slim";"xxs,xs,s,m,l,xl,xxl";"men";248;248;255;188;238;104
"XC9518";"SHORTS";"FOOTBALL LICENSED";2.5;"wide";"xxs,xs,s,m,l,xl,xxl";"women";139;69;0;188;238;104
"WJ9718";"T-SHIRTS";"TRAINING";1.9;"slim";"xxs,xs,s,m,l,xl,xxl";"kids";205;155;29;188;238;104
"FX1729";"SHOES";"FOOTBALL GENERIC";12.2;"wide";"xxs,xs,s,m,l,xl,xxl";"women";220;220;220;188;238;104
"OZ8992";"SHORTS";"FOOTBALL LICENSED";2.6;"wide";"s,m,l,xl";"women";95;158;160;188;238;104
"MO9371";"SHOES";"OUTDOOR";8.2;"slim";"xs,s,m,l";"women";205;183;158;189;189;189
"UN9356";"SHOES";"TRAINING";4.5;"regular";"xxs,xs,s,m,l,xl";"men";205;104;57;135;135;135
"JY1298";"SWEATSHIRTS";"TRAINING";4.5;"slim";"xxs,xs,s,m,l,xl,xxl";"women";54;100;139;135;135;135
"LX5774";"T-SHIRTS";"FOOTBALL LICENSED";3.1;"regular";"xxs,xs,s,m,l,xl,xxl";"women";84;139;84;135;135;135
"DG7643";"SHORTS";"TENNIS";2.9;"regular";"s,m,l,xl,xxl";"women";83;134;139;135;135;135
"ZD3611";"SWEATSHIRTS";"ORIGINALS";5.4;"slim";"xxs,xs,s,m,l,xl,xxl";"women";0;104;139;135;135;135
"HQ3171";"SHOES";"OUTDOOR";8.6;"slim";"xxs,xs,s,m,l,xl,xxl";"kids";238;180;180;135;135;135
"JP9274";"SHOES";"OUTDOOR";8.4;"wide";"xxs,xs,s,m,l,xl,xxl";"women";168;168;168;79;79;79
"ON9331";"PANTS";"FOOTBALL GENERIC";3.7;"regular";"xs,s,m,l,xl,xxl";"women";209;209;209;79;79;79
"SA2925";"SHOES";"RUNNING";8.1;"slim";"xxs,xs,s,m,l,xl,xxl";"kids";238;180;180;79;79;79
"PE5968";"SHOES";"FOOTBALL GENERIC";10.2;"slim";"xxs,xs,s,m,l,xl,xxl";"men";205;41;144;79;79;79
"AA1821";"T-SHIRTS";"RUNNING";3.2;"wide";"s,m,l,xl,xxl";"unisex";205;133;63;79;79;79
"UG4425";"SHORTS";"RUNNING";3.4;"slim";"xxs,xs,s,m,l,xl,xxl";"women";205;104;57;79;79;79
"WF4276";"SHORTS";"FOOTBALL GENERIC";2.4;"slim";"xs,s,m,l";"women";255;140;105;255;192;203
"BX8284";"SHORTS";"FOOTBALL LICENSED";2.7;"regular";"xxs,xs,s,m,l,xl";"women";205;201;201;255;192;203
"NH9366";"SHOES";"TENNIS";9.4;"slim";"xxs,xs,s,m,l,xl,xxl";"women";139;137;137;255;192;203
"WQ8254";"SHORTS";"TRAINING";2.1;"wide";"xxs,xs,s,m,l,xl,xxl";"men";69;139;116;255;192;203
"WU2517";"SHOES";"RUNNING";9.8;"slim";"xxs,xs,s,m,l,xl,xxl";"men";191;191;191;255;192;203
"VA9789";"SHOES";"INDOOR";4.5;"slim";"xxs,xs,s,m,l,xl,xxl";"men";179;238;58;214;214;214
"YS6935";"SHOES";"ACTIVE CASUAL";11.2;"regular";"xxs,xs,s,m,l,xl,xxl";"women";214;214;214;214;214;214
"OU5334";"SHOES";"INDOOR";7.8;"regular";"s,m,l,xl";"unisex";255;245;238;218;165;32
"DZ3492";"SHOES";"RUNNING";8.8;"regular";"xs,s,m,l,xl";"women";238;230;133;218;165;32
"GZ5576";"SHOES";"RUNNING";7.9;"regular";"xxs,xs,s,m,l,xl,xxl";"kids";205;145;158;218;165;32
"PY1913";"SHORTS";"RUNNING";3;"regular";"xxs,xs,s,m,l,xl,xxl";"unisex";255;255;240;218;165;32
"ZU2733";"SHOES";"RUNNING";9.4;"wide";"xxs,xs,s,m,l,xl,xxl";"women";205;129;98;0;197;205
"SE2934";"SHORTS";"TENNIS";2.7;"slim";"xs,s,m,l";"women";205;16;118;36;36;36
"AL2298";"SHOES";"RUNNING";8.4;"regular";"xxs,xs,s,m,l,xl,xxl";"men";0;197;205;36;36;36
"HW7772";"SWEATSHIRTS";"FOOTBALL GENERIC";3.4;"slim";"xxs,xs,s,m,l,xl,xxl";"women";72;118;255;36;36;36
"LT4238";"SHORTS";"TRAINING";1.9;"wide";"xxs,xs,s,m,l,xl,xxl";"unisex";218;112;214;36;36;36
"OA8258";"SHOES";"FOOTBALL GENERIC";4.9;"regular";"xs,s,m,l,xl,xxl";"women";74;112;139;36;36;36
"VU8833";"T-SHIRTS";"RUNNING";3.8;"slim";"xxs,xs,s,m,l,xl,xxl";"kids";255;130;71;36;36;36
"PF5685";"SHORTS";"FOOTBALL GENERIC";1.8;"regular";"xxs,xs,s,m,l,xl,xxl";"unisex";180;205;205;54;100;139
"NH7643";"SHOES";"RUNNING";8.1;"regular";"xxs,xs,s,m,l,xl,xxl";"women";181;181;181;54;100;139
"AD9697";"SHOES";"FOOTBALL GENERIC";13.49;"regular";"xs,s,m,l";"kids";255;187;255;54;100;139
"WC1828";"SWEATSHIRTS";"OUTDOOR";7.7;"wide";"xs,s,m,l,xl,xxl";"women";205;129;98;54;100;139
"KV6219";"T-SHIRTS";"TENNIS";4.1;"slim";"xxs,xs,s,m,l,xl,xxl";"women";135;135;135;54;100;139
"XH6675";"PANTS";"RUNNING";3.8;"regular";"xxs,xs,s,m,l,xl,xxl";"kids";205;51;51;238;180;180
